Row #,Species,Count,Location,S/P,Date,LocID,SubID
130,American Redstart - Setophaga ruticilla,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
131,Cerulean Warbler - Setophaga cerulea,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
132,Magnolia Warbler - Setophaga magnolia,3,Mississauga--Rattray Marsh,CA-ON,25 Aug 2013,L160823,S15019688
133,Bay-breasted Warbler - Setophaga castanea,1,Toronto--High Park,CA-ON,11 May 2013,L11,S14070458
134,Yellow Warbler - Setophaga petechia,1,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
135,Chestnut-sided Warbler - Setophaga pensylvanica,2,Mississauga--Rattray Marsh,CA-ON,25 Aug 2013,L160823,S15019688
136,Black-throated Blue Warbler - Setophaga caerulescens,2,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
137,Palm Warbler - Setophaga palmarum,1,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
138,Yellow-rumped Warbler - Setophaga coronata,4,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
139,Black-throated Green Warbler - Setophaga virens,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
140,Passerini's Tanager - Ramphocelus passerinii,2,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
141,Blue-gray Tanager - Thraupis episcopus,1,Villa Hermosa,CR-A,07 Feb 2013,L2132681,S13857942
142,Golden-hooded Tanager - Tangara larvata,2,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
143,Black-and-yellow Tanager - Chrysothlypis chrysomelas,2,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
144,Variable Seedeater - Sporophila corvina,2,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
145,Thick-billed Seed-Finch - Oryzoborus funereus,1,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
146,Bananaquit - Coereba flaveola,1,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
147,Yellow-faced Grassquit - Tiaris olivaceus,2,Villa Hermosa,CR-A,10 Feb 2013,L2132681,S13858315
148,Buff-throated Saltator - Saltator maximus,1,Villa Hermosa,CR-A,07 Feb 2013,L2132681,S13857942
149,Black-headed Saltator - Saltator atriceps,1,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
150,Eastern Towhee - Pipilo erythrophthalmus,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854775
151,American Tree Sparrow - Spizella arborea,6,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
152,Chipping Sparrow - Spizella passerina,12,"Rodney, 22824-23308 Talbot Line",CA-ON,20 Apr 2013,L2126111,S13816466
153,Field Sparrow - Spizella pusilla,1,Kingston--Lemoine Point CA,CA-ON,04 May 2013,L298965,S13984785
154,Savannah Sparrow - Passerculus sandwichensis,,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889053
155,Grasshopper Sparrow - Ammodramus savannarum,,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889053
156,Song Sparrow - Melospiza melodia,5,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
157,Lincoln's Sparrow - Melospiza lincolnii,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
158,White-throated Sparrow - Zonotrichia albicollis,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854775
159,White-crowned Sparrow - Zonotrichia leucophrys,2,Presidio,US-CA,16 Apr 2013,L291975,S13773100
160,Dark-eyed Junco - Junco hyemalis,1,Amherst Island,CA-ON,27 Dec 2013,L371369,S16096618
161,Summer Tanager - Piranga rubra,2,Villa Hermosa,CR-A,08 Feb 2013,L2132681,S13858172
162,Northern Cardinal - Cardinalis cardinalis,5,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
163,Rose-breasted Grosbeak - Pheucticus ludovicianus,1,Kingston--Lemoine Point CA,CA-ON,04 May 2013,L298965,S13984785
164,Blue Seedeater - Amaurospiza concolor,2,Villa Hermosa,CR-A,10 Feb 2013,L2132681,S13858315
165,Red-winged Blackbird - Agelaius phoeniceus,12,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
166,Eastern Meadowlark - Sturnella magna,3,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889053
167,Brewer's Blackbird - Euphagus cyanocephalus,1,South Beach--shoreline,US-CA,15 Nov 2013,L762572,S15717116
168,Common Grackle - Quiscalus quiscula,2,Scarborough--Bluffers Park,CA-ON,10 Mar 2013,L450425,S13385729
169,Great-tailed Grackle - Quiscalus mexicanus,2,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
170,Brown-headed Cowbird - Molothrus ater,2,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
171,Baltimore Oriole - Icterus galbula,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
172,Montezuma Oropendola - Psarocolius montezuma,1,Villa Hermosa,CR-A,10 Feb 2013,L2132681,S13858315
173,House Finch - Haemorhous mexicanus,4,"Rodney, 22824-23308 Talbot Line",CA-ON,20 Apr 2013,L2126111,S13816466
174,Purple Finch - Haemorhous purpureus,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
175,American Goldfinch - Spinus tristis,2,Toronto--High Park,CA-ON,06 Apr 2013,L11,S13652242
176,House Sparrow - Passer domesticus,2,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
